Product Line,Product Name,Condition,Number,Set,Rarity,Quantity,Saved Price
"Magic","Anger (UMA)","Near Mint","122","The List Reprints","U","1",""
"Magic","Ash Barrens","Near Mint","56","Commander 2016","C","1",""
"Magic","Baleful Mastery","Near Mint","64","Strixhaven: School of Mages","R","1",""
"Magic","Ball Lightning","Near Mint","125","Magic 2010 (M10)","R","1",""
"Magic","Barren Moor","Near Mint","236","Modern Horizons","U","1",""
"Magic","Basilisk Collar","Near Mint","233","Double Masters","R","1",""
"Magic","Bedevil","Near Mint","157","Ravnica Allegiance","R","1",""
"Magic","Blasphemous Act","Near Mint","120","Commander 2018","R","1",""
"Magic","Blood Celebrant","Near Mint","61","Legions","C","1",""
"Magic","Blood Crypt","Near Mint","245","Promo Pack: Throne of Eldraine","R","1",""
"Magic","Bolt Bend","Near Mint","115","War of the Spark","U","1",""
"Magic","Bone Shards","Near Mint","76","Modern Horizons 2","C","1",""
"Magic","Cabal Stronghold","Near Mint","238","Dominaria","R","1",""
"Magic","Chainer, Nightmare Adept","Near Mint","289","Modern Horizons 2","R","1",""
"Magic","Chaos Warp","Near Mint","136","Commander 2019","R","1",""
"Magic","Charcoal Diamond","Near Mint","303","Commander Legends","C","1",""
"Magic","Daring Fiendbonder","Near Mint","41","Commander 2020","R","1",""
"Magic","Demand Answers","Near Mint","122","Murders at Karlov Manor","C","1",""
"Magic","Devour in Shadow","Near Mint","46","Fifth Dawn","U","1",""
"Magic","Disciple of Bolas","Lightly Played","88","Magic 2013 (M13)","R","1",""
"Magic","Dismember","Near Mint","25","Magic Modern Event Deck","U","1",""
"Magic","Essence Harvest","Near Mint","100","Avacyn Restored","C","1",""
"Magic","Executioner's Hood","Near Mint","148","Dark Ascension","C","1",""
"Magic","Fellwar Stone","Near Mint","254","Commander 2015","U","1",""
"Magic","Filth","Lightly Played","66","Judgment","U","1",""
"Magic","Fire Covenant","Near Mint","","Ice Age","U","1",""
"Magic","Fire Diamond","Near Mint","309","Commander Legends","C","1",""
"Magic","Forgotten Cave","Near Mint","239","Modern Horizons","U","1",""
"Magic","Graven Cairns","Near Mint Foil","237","Iconic Masters","R","1",""
"Magic","Greven, Predator Captain","Near Mint Foil","43","Commander 2019","M","1",""
"Magic","Immolating Souleater","Near Mint","139","New Phyrexia","C","1",""
"Magic","Kediss, Emberclaw Familiar (Foil Etched)","Near Mint Foil","573","Commander Legends","U","1",""
"Magic","Keen Duelist","Near Mint","42","Commander 2021","R","1",""
"Magic","K'rrik, Son of Yawgmoth","Near Mint","18","Commander 2019","R","1",""
"Magic","Lightning Greaves","Near Mint","199","Mirrodin","U","1",""
"Magic","Loxodon Warhammer","Near Mint","216","Commander 2017","U","1",""
"Magic","Lupine Prototype","Near Mint","197","Eldritch Moon","R","1",""
"Magic","Mask of Griselbrand","Near Mint","111","Innistrad: Midnight Hunt","R","1",""
"Magic","Mind Stone","Near Mint","65","Duel Decks: Zendikar vs. Eldrazi","U","1",""
"Magic","Mischievous Poltergeist","Near Mint","","Weatherlight","U","1",""
"Magic","Night's Whisper","Near Mint","115","Commander: Dominaria United","C","1",""
"Magic","Prowler's Helm","Near Mint","219","Theros","U","1",""
"Magic","Read the Bones","Lightly Played","101","Theros","C","1",""
"Magic","Shadowspear","Near Mint","236","Theros Beyond Death","R","1",""
"Magic","Shakedown Heavy","Near Mint","95","Streets of New Capenna","R","1",""
"Magic","Shattering Spree","Near Mint","34","The List Reprints","U","1",""
"Magic","Shunt","Near Mint","233","10th Edition","R","1",""
"Magic","Sign in Blood","Near Mint","49","Duel Decks: Anthology","C","1",""
"Magic","Silent Arbiter","Near Mint","150","Fifth Dawn","R","1",""
"Magic","Snow-Covered Mountain","Near Mint","154","Coldsnap","C","1",""
"Magic","Snow-Covered Mountain (282)","Near Mint Foil","282","Kaldheim","L","1",""
"Magic","Snow-Covered Mountain (283)","Near Mint Foil","283","Kaldheim","L","1",""
"Magic","Stigma Lasher","Lightly Played","62","Eventide","R","1",""
"Magic","Sulfurous Springs","Heavily Played","345","7th Edition","R","1",""
"Magic","Sweltering Suns","Near Mint","149","Amonkhet","R","1",""
"Magic","Swiftfoot Boots","Near Mint","105","Commander: Kaldheim","U","1",""
"Magic","Talisman of Indulgence","Near Mint","255","Mirrodin","U","1",""
"Magic","Temple of the False God","Near Mint","319","Commander 2020","U","1",""
"Magic","Terminate","Near Mint","199","Commander 2017","U","1",""
"Magic","The Scorpion God","Near Mint","146","Hour of Devastation","M","1",""
"Magic","Thought Vessel","Near Mint","55","Commander 2015","C","1",""
"Magic","Thrill of Possibility","Near Mint","229","Commander: The Lord of the Rings: Tales of Middle-earth","C","1",""
"Magic","Tragic Slip","Near Mint","128","Conspiracy","C","1",""
"Magic","Trailblazer's Boots","Near Mint","208","Zendikar","U","1",""
"Magic","Tree of Perdition","Near Mint","109","Eldritch Moon","M","1",""
"Magic","Triskaidekaphobia","Near Mint","141","Shadows over Innistrad","R","1",""
"Magic","Vandalblast","Near Mint","111","Return to Ravnica","U","1",""
"Magic","Vorrac Battlehorns","Near Mint","271","Mirrodin","C","1",""
"Magic","Wall of Blood","Near Mint","82/306","The List Reprints","U","1",""
"Magic","Wall of Junk","Near Mint","240","Dominaria Remastered","U","1",""
"Magic","Whip of Erebos","Near Mint","110","Theros","R","1",""
"Magic","Wyll's Reversal","Near Mint","209","Commander Legends: Battle for Baldur's Gate","R","1",""
"Magic","Yargle, Glutton of Urborg","Near Mint","113","Dominaria","U","1",""
