Product Line,Product Name,Condition,Number,Set,Rarity,Quantity,Main Photo URL,Set Release Date,SkuId,Order Quantity
"Magic","Ancient Adamantoise","Near Mint","172","FINAL FANTASY","M","1","","06/13/2025 00:00:00","8732791","95CE391B-461C36-92D0A:1"
"Magic","Dion, Bahamut's Dominant","Near Mint","16","FINAL FANTASY","R","1","","06/13/2025 00:00:00","8739950","95CE391B-461C36-92D0A:1"
"Magic","Louisoix's Sacrifice","Near Mint","59","FINAL FANTASY","R","1","","06/13/2025 00:00:00","8740950","95CE391B-793E94-61388:1"
"Magic","Minwu, White Mage","Near Mint","26","FINAL FANTASY","R","1","","06/13/2025 00:00:00","8740245","95CE391B-826BA3-B6417:1"
"Magic","Noctis, Prince of Lucis","Near Mint","235","FINAL FANTASY","R","1","","06/13/2025 00:00:00","8698930","95CE391B-0A8FE2-541A2:1"
"Magic","Serah Farron","Near Mint","240","FINAL FANTASY","R","1","","06/13/2025 00:00:00","8725175","95CE391B-B28295-842D6:1"
"Magic","Summon: Fat Chocobo (Borderless)","Near Mint","371","FINAL FANTASY","C","1","","06/13/2025 00:00:00","8748645","95CE391B-FBEB19-8ED9B:1"
"Magic","Search for the Frozen Esper - Nature's Claim (Showcase)","Near Mint","47","FINAL FANTASY: Through the Ages","U","1","","06/13/2025 00:00:00","8719173","95CE391B-C30592-D3BFA:1"
"Magic","Ureni, the Song Unending","Near Mint","233","Tarkir: Dragonstorm","M","1","","04/11/2025 00:00:00","8612699","95CE391B-732202-47075:1"
"Magic","Vnwxt, Verbose Host (Borderless)","Near Mint","356","Aetherdrift","R","1","","02/14/2025 00:00:00","8522122","95CE391B-D2BF34-EFC0D:1"
"Magic","Innkeeper's Talent","Near Mint","180","Bloomburrow","R","1","","08/02/2024 00:00:00","8032120","95CE391B-74B6E9-35834:1"
"Magic","Season of Gathering","Near Mint","192","Bloomburrow","M","1","","08/02/2024 00:00:00","8038383","95CE391B-461C36-92D0A:1"
"Magic","Great Train Heist (Extended Art)","Near Mint","331","Outlaws of Thunder Junction","R","1","","04/19/2024 00:00:00","7820602","95CE391B-8F7D80-52DBF:1"
"Magic","Insatiable Avarice","Near Mint","91","Outlaws of Thunder Junction","R","1","","04/19/2024 00:00:00","7814314","95CE391B-7A9D04-50646:1"
"Magic","Kellan, the Kid","Near Mint","213","Outlaws of Thunder Junction","M","1","","04/19/2024 00:00:00","7815255","95CE391B-CEAC19-631D0:1"
"Magic","Pariah","Near Mint","5","Outlaws of Thunder Junction: Breaking News","R","1","","04/19/2024 00:00:00","7846265","95CE391B-1A2C49-B52BE:1"
