TCGplayer Id,Product Line,Set Name,Product Name,Title,Number,Rarity,Condition,TCG Market Price,TCG Direct Low,TCG Low Price With Shipping,TCG Low Price,Total Quantity,Add to Quantity,TCG Marketplace Price,Photo URL
"5431","Magic","10th Edition","Furnace of Rath","","204","R","Near Mint","6.63","","8.8400","8.8400","0","0","7.3500",""
"6479","Magic","10th Edition","Rampant Growth","","288","C","Near Mint","0.35","","1.6300","0.3200","0","0","0.3300",""
"376316","Magic","10th Edition","Rampant Growth","","288","C","Lightly Played","0.37","","1.6100","0.3000","0","0","0.3200",""
"6831","Magic","10th Edition","Shunt","","233","R","Near Mint","0.78","","1.8800","0.5700","1","0","0.6100",""
"7199","Magic","10th Edition","Terramorphic Expanse","","360","C","Near Mint","0.19","","1.4000","0.0900","1","0","0.1500",""
"5798803","Magic","30th Anniversary Promos","Wood Elves","","5","P","Near Mint Foil","1.40","1.45","2.0500","0.7400","0","0","0.8800",""
"16938","Magic","7th Edition","Charcoal Diamond","","289","U","Near Mint","0.48","","1.7500","0.4400","0","0","0.4500",""
"16951","Magic","7th Edition","Counterspell","","67","C","Near Mint","1.54","","2.6900","1.3800","0","0","1.4100",""
"350372","Magic","7th Edition","Sulfurous Springs","","345","R","Heavily Played","3.57","","4.2600","2.9500","1","0","3.2600",""
"23515","Magic","8th Edition","Hammer of Bogardan","","193","R","Near Mint","0.34","0.46","1.5600","0.2500","0","0","0.2700",""
"23360","Magic","8th Edition","Rolling Stones","","38","R","Near Mint","1.28","","2.3800","1.0700","0","0","1.1100",""
"23637","Magic","8th Edition","Star Compass","","315","U","Near Mint","0.78","0.77","1.8000","0.4900","1","0","0.5500",""
"23492","Magic","8th Edition","Vampiric Spirit","","170","R","Near Mint","0.34","","1.5000","0.1900","1","0","0.2200",""
"24616","Magic","9th Edition","Adarkar Wastes","","317","R","Near Mint","4.23","","5.0100","3.4800","1","0","3.8600",""
"24645","Magic","9th Edition","Blinking Spirit","","8","R","Near Mint","0.32","","1.5100","0.2000","0","0","0.2300",""
"24647","Magic","9th Edition","Bloodfire Colossus","","177","R","Near Mint","0.29","","1.5100","0.2000","0","0","0.2200",""
"24733","Magic","9th Edition","Goblin King","","192","R","Near Mint","5.63","","6.2900","6.2900","0","0","6.2900",""
"24886","Magic","9th Edition","Soul Warden","","","U","Near Mint","3.04","","3.7400","2.4300","0","0","2.7400",""
"48757","Magic","9th Edition","Yavimaya Coast","","330","R","Near Mint Foil","19.99","","19.9900","19.9900","1","0","19.9900",""
"24954","Magic","9th Edition","Yavimaya Enchantress","","284","U","Near Mint","0.18","","1.4500","0.1400","0","0","0.1500",""
"5066930","Magic","Adventures in the Forgotten Realms","Bag of Holding","","240","U","Near Mint Foil","0.25","","1.4100","0.1000","1","0","0.1500",""
"5071115","Magic","Adventures in the Forgotten Realms","Barbarian Class","","131","U","Near Mint","0.19","0.24","1.4300","0.1200","0","0","0.1700",""
"5071235","Magic","Adventures in the Forgotten Realms","Bard Class","","217","R","Near Mint","0.50","0.48","1.7100","0.4000","0","0","0.4200",""
"5062725","Magic","Adventures in the Forgotten Realms","Barrowin of Clan Undurr","","218","U","Near Mint Foil","0.22","","1.4100","0.0900","1","0","0.1500",""
"5063550","Magic","Adventures in the Forgotten Realms","Barrowin of Clan Undurr (Showcase)","","336","U","Near Mint","0.09","0.05","1.3700","0.0600","1","0","0.1500",""
"5063555","Magic","Adventures in the Forgotten Realms","Barrowin of Clan Undurr (Showcase)","","336","U","Near Mint Foil","0.30","","1.4700","0.1600","1","0","0.1900",""
"5049705","Magic","Adventures in the Forgotten Realms","Black Dragon","","90","U","Near Mint","0.11","0.06","1.3200","0.0100","1","0","0.1500",""
"5083808","Magic","Adventures in the Forgotten Realms","Blink Dog","","3","U","Near Mint","0.11","0.08","1.3500","0.0400","0","0","0.1500",""
"5083918","Magic","Adventures in the Forgotten Realms","Blink Dog (Showcase)","","300","U","Near Mint","0.09","0.09","1.3600","0.0500","2","0","0.1500",""
"5078920","Magic","Adventures in the Forgotten Realms","Boots of Speed","","133","C","Near Mint","0.09","0.10","1.3500","0.0400","1","0","0.1500",""
"4950083","Magic","Adventures in the Forgotten Realms","Bruenor Battlehammer","","219","U","Near Mint","0.70","0.60","1.7700","0.4600","0","0","0.5100",""
"4950198","Magic","Adventures in the Forgotten Realms","Bruenor Battlehammer (Showcase)","","337","U","Near Mint","0.56","0.35","1.8100","0.5000","0","0","0.5100",""
"5069140","Magic","Adventures in the Forgotten Realms","Chaos Channeler","","136","U","Near Mint","0.13","0.10","1.4000","0.0900","1","0","0.1500",""
"5046783","Magic","Adventures in the Forgotten Realms","Circle of Dreams Druid","","176","R","Near Mint","5.15","5.69","5.6900","5.6900","0","0","4.8000",""
"5070895","Magic","Adventures in the Forgotten Realms","Cleric Class","","6","U","Near Mint","1.43","1.57","2.2700","0.9600","0","0","1.0400",""
"5080795","Magic","Adventures in the Forgotten Realms","Deadly Dispute","","94","C","Near Mint Foil","0.65","0.59","1.6100","0.2600","1","0","0.3700",""
"5065100","Magic","Adventures in the Forgotten Realms","Delina, Wild Mage","","138","R","Near Mint","5.30","5.91","5.2600","3.9500","0","0","4.6400",""
"5070275","Magic","Adventures in the Forgotten Realms","Delina, Wild Mage (Showcase)","","317","R","Near Mint","4.78","5.66","5.0000","3.1500","0","0","3.9300",""
"5048380","Magic","Adventures in the Forgotten Realms","Den of the Bugbear","","254","R","Near Mint","0.77","0.75","1.9500","0.6400","0","0","0.6700",""
"5048495","Magic","Adventures in the Forgotten Realms","Den of the Bugbear (Dungeon Module)","","351","R","Near Mint Foil","2.14","2.08","3.2000","1.8900","0","0","1.9400",""
"5052248","Magic","Adventures in the Forgotten Realms","Dragon Turtle (Showcase)","","307","R","Near Mint","0.24","0.23","1.4600","0.1500","0","0","0.1700",""
"5082933","Magic","Adventures in the Forgotten Realms","Dragon's Fire","","139","C","Near Mint Foil","0.23","","1.4800","0.1700","1","0","0.1700",""
"4950328","Magic","Adventures in the Forgotten Realms","Drizzt Do'Urden","","220","R","Near Mint","0.34","0.25","1.5500","0.2400","0","0","0.2600",""
"5072695","Magic","Adventures in the Forgotten Realms","Druid Class","","180","U","Near Mint","1.35","1.37","2.3600","1.0500","0","0","1.1100",""
"5058824","Magic","Adventures in the Forgotten Realms","Dungeon Map","","242","U","Near Mint","0.07","0.07","1.3600","0.0500","1","0","0.1500",""
"5078144","Magic","Adventures in the Forgotten Realms","Eye of Vecna","","243","R","Near Mint","0.41","","1.5600","0.2500","0","0","0.2800",""
