TCGplayer Id,Product Line,Set Name,Product Name,Title,Number,Rarity,Condition,TCG Market Price,TCG Direct Low,TCG Low Price With Shipping,TCG Low Price,Total Quantity,Add to Quantity,TCG Marketplace Price,Photo URL
"5597414","Magic","Commander Legends: Battle for Baldur's Gate","Abdel Adrian, Gorion's Ward","","2","U","Near Mint","0.13","0.06","1.4100","0.1000","1","1","0.1300",""
"3200209","Magic","Kaladesh","Aetherstorm Roc","","3","R","Near Mint","0.13","","1.3600","0.0500","1","1","0.1300",""
"6775943","Magic","Starter Commander Decks","Ajani, Caller of the Pride","","6","M","Near Mint","0.60","0.59","1.8000","0.4900","1","1","0.6000",""
"3765705","Magic","Core Set 2019","Ajani's Influence","","282","R","Near Mint","0.25","","1.5000","0.1900","1","1","0.2500",""
"3609627","Magic","Masters 25","Akroma, Angel of Wrath","","2","M","Near Mint","3.73","","4.4000","3.0900","1","1","3.7300",""
"3608996","Magic","Masters 25","Akroma's Vengeance","","3","R","Near Mint","0.40","","1.6900","0.3800","1","1","0.4000",""
"7251331","Magic","Commander Masters","Alms Collector","","10","R","Near Mint","0.54","0.07","1.7400","0.4300","1","1","0.5400",""
"2737207","Magic","Dragons of Tarkir","Anafenza, Kin-Tree Spirit","","2","R","Near Mint","0.19","","1.4500","0.1400","1","1","0.1900",""
"7092535","Magic","March of the Machine: Multiverse Legends","Anafenza, Kin-Tree Spirit","","1","R","Near Mint","0.20","0.10","1.4100","0.1000","5","5","0.2000",""
"3095357","Magic","Shadows over Innistrad","Angel of Deliverance","","2","R","Near Mint","0.23","","1.4000","0.0900","1","1","0.2300",""
"7251116","Magic","Commander Masters","Angelic Field Marshal","","13","R","Near Mint","1.08","0.85","2.1600","0.8500","1","1","1.0800",""
"5768670","Magic","Dominaria United","Anointed Peacekeeper","","2","R","Near Mint","0.23","0.21","1.3900","0.0800","5","5","0.2300",""
"7832574","Magic","Outlaws of Thunder Junction","Another Round","","1","R","Near Mint","0.30","0.22","1.5300","0.2200","1","1","0.3000",""
